#Id;PropertyName;PropertyValue
LockableHandleA;FlexLink::Option;A
LockableHandleB;FlexLink::Option;B
SimpleHandle130;FlexLink::Size;130
SimpleHandle135;FlexLink::Size;135
SimpleHandle175;FlexLink::Size;175
SimpleHandle190;FlexLink::Size;190
SimpleHandle200;FlexLink::Size;200
SimpleHandle240;FlexLink::Size;240
40x40CornerJoint;FlexLink::Size;40x40
40x40CornerJoint;FlexLink::Type;Corner Joint
40x40AngleBracket;FlexLink::Size;40x40
40x40AngleBracket;FlexLink::Type;Angle Bracket
40x80AngleBracket;FlexLink::Size;40x80
40x80AngleBracket;FlexLink::Type;Angle Bracket
80x40CornerJoint;FlexLink::Size;80x40
80x40CornerJoint;FlexLink::Type;Corner Joint
70x40AngleJoint;FlexLink::Size;70x40
70x40AngleJoint;FlexLink::Type;Angle Joint
70x80AngleJoint;FlexLink::Size;70x80
70x80AngleJoint;FlexLink::Type;Angle Joint
TCAH30L;FlexLink::ItemKey;TCAH 30 L
TCAH30R;FlexLink::ItemKey;TCAH 30 R
TCAH50A;FlexLink::ItemKey;TCAH 50 A
TCAH50B;FlexLink::ItemKey;TCAH 50 B
TCAH50P;FlexLink::ItemKey;TCAH 50 PG
TCAH50CP;FlexLink::ItemKey;TCAH 50 CPG
TCAH90A;FlexLink::ItemKey;TCAH 90 A
TCAH90B;FlexLink::ItemKey;TCAH 90 B
TCAH90C;FlexLink::ItemKey;TCAH 90 C
TCAH30DP;FlexLink::ItemKey;TCAH 30 DPG
TCAH75H;FlexLink::ItemKey;TCAH 75 H
TCFJ40;FlexLink::UseArm;false
TCFJ40A;FlexLink::UseArm;true
TCAH30L;FlexLink::Angle;0
TCAH30R;FlexLink::Angle;0
TCAH50A;FlexLink::Angle;0
TCAH50P;FlexLink::Angle;0
TCAH50CP;FlexLink::Angle;0
TCAH90A;FlexLink::Angle;0
TCAH90B;FlexLink::Angle;0
TCAH90C;FlexLink::Angle;0
TCAH30DP;FlexLink::Angle;0
125x125Plate;FlexLink::Size;125x125
150x125Plate;FlexLink::Size;150x125
200x200Plate;FlexLink::Size;200x200
200x169Plate;FlexLink::Size;200x169
ConnectingTab74;FlexLink::ItemKey;TCCS 74
ConnectingTab114;FlexLink::ItemKey;TCCS 114
TCCH22x22B;FlexLink::CableHolderVariant;TCCH 22x22 B
DoorCatch40;FlexLink::ItemKey;40
DoorCatch48;FlexLink::ItemKey;48
DoorCatch74;FlexLink::ItemKey;74
DoorCatch90;FlexLink::ItemKey;90
TCCH25B;FlexLink::CableHolderVariant;TCCH 25 B
TCCH45B;FlexLink::CableHolderVariant;TCCH 45 B
SlidingCover;FlexLink::ItemKey;Sliding
BumperCover;FlexLink::ItemKey;Bumper
TableCover;FlexLink::ItemKey;Table
20mmUniversalJoint;FlexLink::Size;20
#40mmUniversalJoint;FlexLink::Size;40
ThreewayJoint;FlexLink::ItemKey;TCFA 40 AB
