#Id;ItemKey;Vcid;Type;Category;Helper;TooltipImage;Icon;MarginForDoor
40x40CornerJoint;;71c63458-8b83-4ee2-8fcb-1730a662e91d;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\Accessories\TCFA_40x40_tooltip.png;;
40x40AngleBracket;;71c63458-8b83-4ee2-8fcb-1730a662e91d;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\Accessories\TCFA_40x40_ca_tooltip.png;;
40x80AngleBracket;;71c63458-8b83-4ee2-8fcb-1730a662e91d;Joint;AngleBracket;WideCornerJoint;Icons\FlexLink\Profiles\Accessories\TCFA_40x80_ca_tooltip.png;;
80x40CornerJoint;;71c63458-8b83-4ee2-8fcb-1730a662e91d;Joint;AngleBracket;TallCornerJoint;Icons\FlexLink\Profiles\Accessories\TCFA_40x80_tooltip.png;;
70x40AngleJoint;;71c63458-8b83-4ee2-8fcb-1730a662e91d;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\Accessories\TCFA_70x40_tooltip.png;;
70x80AngleJoint;;71c63458-8b83-4ee2-8fcb-1730a662e91d;Joint;AngleBracket;WideCornerJoint;Icons\FlexLink\Profiles\Accessories\TCFA_70x80_tooltip.png;;
SimpleHandle130;;738b565e-8ff2-45eb-aaf6-53ae9bc8748a;Accessory;Handle;SimpleHandle;Icons\FlexLink\Profiles\Accessories\TCEH_130_tooltip.png;;
SimpleHandle135;;738b565e-8ff2-45eb-aaf6-53ae9bc8748a;Accessory;Handle;SimpleHandle;Icons\FlexLink\Profiles\Accessories\TCEH_135_tooltip.png;;
SimpleHandle190;;738b565e-8ff2-45eb-aaf6-53ae9bc8748a;Accessory;Handle;SimpleHandle;Icons\FlexLink\Profiles\Accessories\TCEH_190_tooltip.png;;
SimpleHandle200;;738b565e-8ff2-45eb-aaf6-53ae9bc8748a;Accessory;Handle;SimpleHandle;Icons\FlexLink\Profiles\Accessories\TCEH_200_tooltip.png;;
SimpleHandle240;;738b565e-8ff2-45eb-aaf6-53ae9bc8748a;Accessory;Handle;SimpleHandle;Icons\FlexLink\Profiles\Accessories\TCEH_240_tooltip.png;;
LockableHandleA;;6aadbe5f-0ca9-4d71-8530-db54ce42bfbc;Accessory;Handle;LockableHandle;Icons\FlexLink\Profiles\Accessories\TCEL_105_tooltip.png;;
LockableHandleB;;6aadbe5f-0ca9-4d71-8530-db54ce42bfbc;Accessory;Handle;LockableHandle;Icons\FlexLink\Profiles\Accessories\TCEL_105_tooltip.png;;
TCAH30L;;222e6214-24c6-42a9-ac58-993bdf0fda4d;Accessory;Hinge;SimpleHinge;Icons\FlexLink\Profiles\Accessories\TCAH_30_L_tooltip.png;;4
TCAH30R;;222e6214-24c6-42a9-ac58-993bdf0fda4d;Accessory;Hinge;SimpleHinge;Icons\FlexLink\Profiles\Accessories\TCAH_30_R_tooltip.png;;4
TCAH50B;;222e6214-24c6-42a9-ac58-993bdf0fda4d;Accessory;Hinge;SimpleHinge;Icons\FlexLink\Profiles\Accessories\TCAH_50_B_tooltip.png;;3.6
TCAH50P;;222e6214-24c6-42a9-ac58-993bdf0fda4d;Accessory;Hinge;SimpleHinge;Icons\FlexLink\Profiles\Accessories\TCAH_50_PB_tooltip.png;;5
TCAH50CP;;222e6214-24c6-42a9-ac58-993bdf0fda4d;Accessory;Hinge;SimpleHinge;Icons\FlexLink\Profiles\Accessories\TCAH_50_CPB_tooltip.png;;5.5
TCAH90A;;222e6214-24c6-42a9-ac58-993bdf0fda4d;Accessory;Hinge;SimpleHinge;Icons\FlexLink\Profiles\Accessories\TCAH_90_A_tooltip.png;;4
