#Id;ItemKey;Vcid;Type;Category;Helper;TooltipImage;Icon
XCFA24;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_24×33×22.png;
XCFA44;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_extruded_80×40×40.png;
XCFA44A;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;TallCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_80×80×38.png;
XCFA44B;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_42×42×38.png;
XCFA44C;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_80×42×38.png;
XCFA44D;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;TallCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_124×80×38.png;
XCFA84;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;WideCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_extruded_90×40×80.png;
XCFA88A;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;QuadCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_80×80×82.png;
XCFA88B;;7cb05c8a-37df-4f5d-a945-64e03ff56def;Joint;AngleBracket;WideCornerJoint;Icons\FlexLink\Profiles\XC\Joints\AngleBracket_die_cast_42×42×82.png;
XMRX20A;;c5a03e29-e45f-4f23-aec8-7a82e5342e83;Joint;InnerFitting;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\Inner_fitting90_xmrx.png;
XMRY20;;c5a03e29-e45f-4f23-aec8-7a82e5342e83;Joint;InnerFitting;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\Inner_fitting90_double.png;
XMRY20A;;c5a03e29-e45f-4f23-aec8-7a82e5342e83;Joint;InnerFitting;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\Inner_fitting90.png;
XMRY20B;;c5a03e29-e45f-4f23-aec8-7a82e5342e83;Joint;InnerFitting;SingleCornerJoint;Icons\FlexLink\Profiles\XC\Joints\Inner_fitting90_xmry.png;
#XMRY20X45A;;c5a03e29-e45f-4f23-aec8-7a82e5342e83;Joint;InnerFitting;ObtuseAngledCornerFitting;Icons\FlexLink\Profiles\XC\Joints\Inner_fitting45_xmry.png;
#XMRW20;;46537063-3e29-4c2b-8703-239b7e9bfadd;Joint;InnerFitting;SingleSlotCornerPlate;Icons\FlexLink\Profiles\XC\Joints\Corner_fitting90_xmrw.png;
#XMRW20X45;;46537063-3e29-4c2b-8703-239b7e9bfadd;Joint;InnerFitting;ObtuseAngledCornerFitting;Icons\FlexLink\Profiles\XC\Joints\Corner_fitting45_xmrw.png;
XCFJ44F;;8885c604-d9ff-4e76-bc64-8390b246f43e;Joint;Other;EndJoint;Icons\FlexLink\Profiles\XC\Joints\Stay_bracket_adjustable.png;
XCFP75;;9e9a5395-106f-440c-9aa2-51cf3921e075;Joint;Other;ParallelConnector;Icons\FlexLink\Profiles\XC\Joints\Parallel_connector.png;
#
#XCAC2;;67d0257a-3edc-418f-aeb0-4d4f8b940c3a;Accessory;CoverStrip;CoverStrip;;FlexLink/Profiles/CoverStrips/SlidingCover.svg
#XCAC3P;;67d0257a-3edc-418f-aeb0-4d4f8b940c3a;Accessory;CoverStrip;CoverStrip;;FlexLink/Profiles/CoverStrips/SlidingCover.svg
#XCAC25P;;67d0257a-3edc-418f-aeb0-4d4f8b940c3a;Accessory;CoverStrip;CoverStrip;;FlexLink/Profiles/CoverStrips/SlidingCover.svg
#
XCFB44;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;SingleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate44.png;
XCFB44X88A;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;SingleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate44x88A.png;
XCFB44X88B;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;DoubleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate44x88B.png;
XCFB88;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;DoubleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate88.png;
XCFB64A;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;SingleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate64A.png;
XCFB44X64A;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;SingleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate44x64A.png;
XCFB44X64B;;877f4c36-ab38-4162-80c8-8e0727515ead;Accessory;Other;SingleSlotMountingPlate;Icons\FlexLink\Profiles\XC\MountingPlates\Mounting_plate44x64B.png;
