#Panel vcid;Material;Varient;Thickness;Allowed fixations
41d41773-43e3-4afc-9540-39348c83ac35;WovenWireGrille;40X40;4;NetStrip,RubberStrip
41d41773-43e3-4afc-9540-39348c83ac35;AcrylicGlass;Clear;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;AcrylicGlass;Clear;5;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;AcrylicGlass;Clear;6;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;Polycarbonate;Clear;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;Polycarbonate;Clear;5;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;Polycarbonate;Clear;6;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Blue;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Blue;6;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Yellow;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Yellow;6;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Red;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Red;6;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Grey;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Grey;6;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Black;4;RubberStrip,RimStrip
41d41773-43e3-4afc-9540-39348c83ac35;All-plasticMaterial;Black;6;RubberStrip,RimStrip
