#DoorItemNo;DoorSize;DoorSlot;HingeType;MinWidthxMinHeight;MaxWidthxMaxHeight;Hinge VCID;Hinge ItemKey ;HingeAngle ;Handle VCID; Handle Type; HandleSize;Hinge-profileStart distance;LatchChoice;BallLatch Vcid;BallLatch ItemNo;HingeMargin;HanleMargin;TopBottomMargin;ShortHingeProfile;JointId;JointCount;EndCapVCID;ShortEndCapSize;EndCapFlushed
1;30X30;Open;SimpleHinge;300x300;1000x2000;f68276e7-3a74-48f5-b1f2-7678848882a0;XFAH110B;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;NoLatch;;;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
2;30X30;Open;SimpleHinge;300x300;1000x2000;f68276e7-3a74-48f5-b1f2-7678848882a0;XFAH110B;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60B;4874b95f-5e86-42a8-a96b-48cceed24d9a;XFEL60B;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
3;30X30;Open;SimpleHinge;300x300;1000x2000;f68276e7-3a74-48f5-b1f2-7678848882a0;XFAH110B;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60W;4874b95f-5e86-42a8-a96b-48cceed24d9a;XFEL60W;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
4;30X30;Open;SimpleHinge;300x300;1000x2000;f68276e7-3a74-48f5-b1f2-7678848882a0;XFAH110B;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60BA;9a813ef0-d124-4c51-bcd3-1c050f183b4a;XFEL60BA;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
5;30X30;Open;SimpleHinge;300x300;1000x2000;f68276e7-3a74-48f5-b1f2-7678848882a0;XFAH110B;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60WA;9a813ef0-d124-4c51-bcd3-1c050f183b4a;XFEL60WA;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
#
6;30X30;Open;SimpleHinge;300x300;1000x2000;db9a0d28-153a-462d-80d6-ff9ba94db875;XFAH110A;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;NoLatch;;;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
7;30X30;Open;SimpleHinge;300x300;1000x2000;db9a0d28-153a-462d-80d6-ff9ba94db875;XFAH110A;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60B;4874b95f-5e86-42a8-a96b-48cceed24d9a;XFEL60B;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
8;30X30;Open;SimpleHinge;300x300;1000x2000;db9a0d28-153a-462d-80d6-ff9ba94db875;XFAH110A;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60W;4874b95f-5e86-42a8-a96b-48cceed24d9a;XFEL60W;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
9;30X30;Open;SimpleHinge;300x300;1000x2000;db9a0d28-153a-462d-80d6-ff9ba94db875;XFAH110A;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60BA;9a813ef0-d124-4c51-bcd3-1c050f183b4a;XFEL60BA;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
10;30X30;Open;SimpleHinge;300x300;1000x2000;db9a0d28-153a-462d-80d6-ff9ba94db875;XFAH110A;180;ea3c7776-d5cb-4734-a08e-16830f241737;standard;160;100;XFEL60WA;9a813ef0-d124-4c51-bcd3-1c050f183b4a;XFEL60WA;4.5;4;5;true;CornerBracket5053010;8;088efb41-6145-4d7c-98d9-f9f9f23beef7;30x30;true
